0 NONE Person_or_Vehicle NONE:0.000412502845998 Person_or_Vehicle:0.604162232496 Other:0.0398129311798 Building_or_Public_Space:0.266852437698 Road_or_Driveway:0.0746790061996 Traffic_Signal:0.0140808895799
1 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.71113184085 Other:0.0104091439155 Building_or_Public_Space:0.260277640939 Road_or_Driveway:0.0181813742951 Traffic_Signal:0.0
2 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.756646971382 Other:0.0247552161262 Building_or_Public_Space:0.200417912721 Road_or_Driveway:0.0181798997705 Traffic_Signal:0.0
3 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.263732189852 Other:0.0294117248458 Building_or_Public_Space:0.657161411612 Road_or_Driveway:0.0496946736904 Traffic_Signal:0.0
4 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.534867145037 Other:0.0126696444772 Building_or_Public_Space:0.375503905677 Road_or_Driveway:0.0759294981055 Traffic_Signal:0.0010298067032
5 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.618477560736 Other:0.00892798490816 Building_or_Public_Space:0.356555371032 Road_or_Driveway:0.0160390833238 Traffic_Signal:0.0
6 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.160503104217 Other:0.00652359380519 Building_or_Public_Space:0.802892372566 Road_or_Driveway:0.0300809294116 Traffic_Signal:0.0
7 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.376710333691 Other:0.00431230354709 Building_or_Public_Space:0.492695642696 Road_or_Driveway:0.110630016164 Traffic_Signal:0.0156517039028
8 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.774442202067 Other:0.0015994080906 Building_or_Public_Space:0.195019847834 Road_or_Driveway:0.0265051125196 Traffic_Signal:0.00243342948907
9 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.530633525999 Other:0.0138934684922 Building_or_Public_Space:0.452981387797 Road_or_Driveway:0.00249161771203 Traffic_Signal:0.0
10 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.760824845463 Other:0.00285191534014 Building_or_Public_Space:0.221738660228 Road_or_Driveway:0.0145845789683 Traffic_Signal:0.0
11 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.842967647301 Other:0.00575707340679 Building_or_Public_Space:0.142031611614 Road_or_Driveway:0.00924366767766 Traffic_Signal:0.0
12 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.882366095067 Other:0.0074506780508 Building_or_Public_Space:0.101030272636 Road_or_Driveway:0.00915295424626 Traffic_Signal:0.0
13 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.882328222188 Other:0.0110611298553 Building_or_Public_Space:0.092790707316 Road_or_Driveway:0.0138199406408 Traffic_Signal:0.0
14 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.67717281401 Other:0.00779281556323 Building_or_Public_Space:0.290264370677 Road_or_Driveway:0.0247699997492 Traffic_Signal:0.0
15 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.156527891559 Other:0.00868191700963 Building_or_Public_Space:0.791221584964 Road_or_Driveway:0.0435686064677 Traffic_Signal:0.0
16 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.0132166812931 Other:0.000991080905415 Building_or_Public_Space:0.961916427384 Road_or_Driveway:0.0229947307426 Traffic_Signal:0.000881079674706
17 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.878928616362 Other:0.00184885186326 Building_or_Public_Space:0.0967606713218 Road_or_Driveway:0.0222083091859 Traffic_Signal:0.000253551266951
